epoch,train_loss,train_acc,val_loss,val_acc
1,1.6565477848052979,0.2151731550693512,1.5888631343841553,0.28040653467178345
2,1.577258586883545,0.2580863833427429,1.5591762065887451,0.30489838123321533
3,1.5321022272109985,0.30267760157585144,1.4634859561920166,0.404365211725235
4,1.4985593557357788,0.32184934616088867,1.3739938735961914,0.42869043350219727
5,1.4306617975234985,0.3405926525592804,1.282698631286621,0.44635123014450073
6,1.4139842987060547,0.35144591331481934,1.3221672773361206,0.43852049112319946
7,1.400628924369812,0.3568011522293091,3.3383829593658447,0.25391536951065063
8,1.3637765645980835,0.38579079508781433,1.542402744293213,0.33955347537994385
9,1.3295732736587524,0.41224563121795654,1.296473741531372,0.44668444991111755
10,1.3008328676223755,0.426169216632843,1.3706157207489014,0.414528489112854
11,1.263257622718811,0.4427347481250763,1.1996585130691528,0.46817728877067566
12,1.2308368682861328,0.46508389711380005,1.2254644632339478,0.47117626667022705
13,1.1878020763397217,0.4813995063304901,1.1595005989074707,0.5001665949821472
14,1.1634536981582642,0.4982506334781647,1.04938542842865,0.5578140616416931
15,1.1420117616653442,0.5147090554237366,1.0513055324554443,0.5716427564620972
16,1.1109684705734253,0.5292038321495056,1.0738061666488647,0.5596467852592468
17,1.0943812131881714,0.5332024097442627,0.9844106435775757,0.5988004207611084
18,1.0759327411651611,0.5521242618560791,1.054924488067627,0.57264244556427
19,1.05162513256073,0.5676544308662415,0.9430663585662842,0.624958336353302
20,1.0269118547439575,0.5719385743141174,0.9472681283950806,0.6101299524307251
21,1.017127275466919,0.5810067653656006,1.221552848815918,0.5764744877815247
22,0.9995930790901184,0.5931810140609741,0.9186258316040039,0.6317893862724304
23,0.9822415709495544,0.5995001792907715,0.9426681995391846,0.6197934150695801
24,0.966297447681427,0.6095322966575623,0.8991719484329224,0.631289541721344
25,0.9514539837837219,0.6128525733947754,0.8977870941162109,0.6404531598091125
26,0.9513606429100037,0.6113173961639404,0.9797963500022888,0.6016327738761902
27,0.9304460287094116,0.6254909038543701,0.8437397480010986,0.6696101427078247
28,0.9170727133750916,0.6295608878135681,0.8747774362564087,0.6521159410476685
29,0.9034751653671265,0.6368796825408936,0.8599950671195984,0.6652782559394836
30,0.8900326490402222,0.6434487700462341,0.8325908780097961,0.6617794036865234
